name,address,categories,rating,user_ratings_total,place_id,lat,lng,sources
Chili's,"Av Fundidora 500, Obrera, 64000 Monterrey, N.L., 墨西哥",餐饮,3.8,3770,ChIJUwLDQe6WYoYRwxl17kOYI-E,25.6777546,-100.2900211,mala tang｜蒙特雷
China House,"C. Salamanca 1312, Mitras Centro, 64460 Monterrey, N.L., 墨西哥",餐饮,4.4,2257,ChIJR_1FWuGVYoYRky6SAkt62fo,25.6910001,-100.3449162,jiao zi｜蒙特雷 | jiaozi｜蒙特雷
China House,"Modesto Arreola Ote., Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4.6,304,ChIJAQgCCSq-YoYRDrYRfqVQNlo,25.6752228,-100.3096249,jiao zi｜蒙特雷 | jiaozi｜蒙特雷 | 中餐馆｜蒙特雷
China King,"Av Real De San Agustin 222, Local F-10, Zona San Agustín, 66260 San Pedro Garza García, N.L., 墨西哥",餐饮,4.4,52,ChIJs8uMpRK-YoYRDXREKhFFr4M,25.651257,-100.3382754,中餐｜蒙特雷
Chinatown Monterrey,"Pino Suárez 900, Centro, 64000 Monterrey, N.L., 墨西哥",综合,4.1,14,ChIJYfJzvYi_YoYRZiCEJZzB8N8,25.6680231,-100.3204487,唐人街｜蒙特雷
ChinoFacil. Instituto de Estudios Lingüísticos YaMei.,"Calle Gral. Carlos Salazar Ote. 106-Interior A, Centro, 64000 Monterrey, N.L., 墨西哥",教育/培训,5,8,ChIJIzECorC_YoYRpskyVAytRtM,25.682175,-100.3133962,中文学校｜蒙特雷 | 中文课｜蒙特雷
City Market Gómez Morín,"Av. Manuel Gómez Morín Sur 265, Valle del Campestre, 66265 San Pedro Garza García, N.L., 墨西哥",零售/超市,4.7,3479,ChIJr_rG-zm9YoYRkYpD_mB_qic,25.6513363,-100.358055,超市｜蒙特雷
Claroscuro Hair & Beauty,"Av Paseo de los Leones 9203, Col. Espacio Cumbres, 64349 Monterrey, N.L., 墨西哥",美容/美发/美甲,4.4,29,ChIJ6Q6e7A2-YoYRMZb5Z78B8vY,25.7496237,-100.4283486,美发｜蒙特雷
Clau Black Toxic Peluquería,"Huerta de los Nísperos 205, 65517 Simeprodeso, N.L., 墨西哥",美容/美发/美甲,4.4,9,ChIJg8k48YCSYoYRShexO3Q4Mno,25.8596194,-100.3027908,发廊｜蒙特雷
Clinica,"Rio Sta. Catarina 901 66650, 66655 Colinas del Aeropuerto, N.L., 墨西哥",医疗/中医,5,1,ChIJA_wrygfvYoYRqFtij7Rg2MY,25.8268896,-100.1155694,诊所｜蒙特雷
Clinica Automotriz Martinez,"Santiago El Mayor 2812, San Jorge, 64330 Monterrey, N.L., 墨西哥",汽车/维修,4.7,21,ChIJ59RnRIiWYoYRTPmuczjs5hI,25.7202839,-100.3628903,修车｜蒙特雷
CLUB AUTOS,"Centro, 66400 圣尼古拉斯市新萊昂州墨西哥",汽车/维修,3.5,2,ChIJE4S8-I-UYoYRcm5cNBadlwU,25.758331,-100.2940863,汽车｜蒙特雷
Clínica de Acupuntura China Prinso,"Marcelino Lacas 254, Chepevera, 64030 Monterrey, N.L., 墨西哥",医疗/中医,4.7,9,ChIJs8VCsPuVYoYRIp1EhBAweWk,25.6810509,-100.3420645,针灸｜蒙特雷
CM Salon Hair - Nails & Makeup,"Privadas del Parque, Los Cedros 228, Titan S.a., 66633 Cdad. Apodaca, N.L., 墨西哥",美容/美发/美甲,4.5,19,ChIJVbvvB6jrYoYRiIfswh97MyM,25.7421591,-100.2214994,发廊｜蒙特雷
CocoNails&Hair,"Av. Alfonso Reyes 4560, Villa del Río, 66196 Monterrey, N.L., 墨西哥",美容/美发/美甲,5,14,ChIJ-RiAysq_YoYRM9qAhiwJqFU,25.6394187,-100.2707425,美甲｜蒙特雷
Comercialización y Logística del Norte,"Moctezuma 209, Rincón de las Mitras, 66139 Cdad. Santa Catarina, N.L., 墨西哥",物流/清关,,,ChIJCzm1Jg1r04wRmg1HfY7r5ME,25.6829156,-100.4297971,物流｜蒙特雷
"Comida China - ""Dragón de la suerte"" Mol Concordia","Sta. Rosa - Mezquital 115, 66610 Monterrey, N.L., 墨西哥",餐饮,4.1,28,ChIJ40Wz8RPtYoYRzU7-_pvbEdc,25.7854459,-100.2271362,小吃｜蒙特雷
Comida china cantonesa,"墨西哥 Nuevo León, Monterrey, Avenida Hacienda de Peñuelas 6767, local 208-210",餐饮,3.3,27,ChIJ06LwPpSXYoYRrbOVbECnxzA,25.7318555,-100.3972404,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Comida China Cantonesa Xin Quan,"Florencio Antillón 464, Centro, 64000 Monterrey, N.L., 墨西哥",餐饮,4.3,252,ChIJXfhtAdS_YoYRnBjudA5mfJ4,25.670535,-100.2995657,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Comida china Cantonesa Xuan Yue,"Gral. Plutarco Elías Calles 2350, Rincón de La Hacienda 1er Sector, 67168 Guadalupe, N.L., 墨西哥",餐饮,5,3,ChIJXSfKjCzrYoYRY5zcveny5tI,25.6874394,-100.1887659,中餐｜蒙特雷
